country,lat_long,lat,lon,population_str,population,median_age_str,median_age_total,median_age_male,median_age_female,male_minus_female,age_dist_str,age_0-14_perc,age_15-24_perc,age_25-54_perc,age_55-64_perc,age_65+_perc,0-14_male,0-14_female,15-24_male,15-24_female,25-54_male,25-54_female,55-64_male,55-64_female,65+_male,65+_female,migration_str,migration,birth_rate,death_rate,pop_growth,map_ref,life_exp_total,life_exp_male,life_exp_female
Afghanistan,"33 00 N, 65 00 E",33.0,65.0,"34,124,811 (July 2017 est.)",34124811,"total: 18.8 years
male: 18.8 years
female: 18.9 years (2017 est.)",18.8,18.8,18.9,-0.09999999999999787,"0-14 years: 40.92% (male 7,093,980/female 6,869,737)
15-24 years: 22.22% (male 3,859,696/female 3,723,679)
25-54 years: 30.35% (male 5,273,969/female 5,082,972)
55-64 years: 3.92% (male 659,635/female 678,942)
65 years and over: 2.59% (male 407,437/female 474,764) (2017 est.)",40.92,22.22,30.35,3.92,2.59,7093980,6869737,3859696,3723679,5273969,5082972,659635,678942,407437,474764,"-0.9 migrant(s)/1,000 population (2017 est.)",-0.9,37.9,13.4,24.5,Asia,51.7,50.3,53.2
Albania,"41 00 N, 20 00 E",41.0,20.0,"3,047,987 (July 2017 est.)",3047987,"total: 32.9 years
male: 31.6 years
female: 34.3 years (2017 est.)",32.9,31.6,34.3,-2.6999999999999957,"0-14 years: 18.05% (male 290,572/female 259,544)
15-24 years: 17.47% (male 275,969/female 256,416)
25-54 years: 41.06% (male 597,421/female 653,965)
55-64 years: 11.54% (male 173,105/female 178,575)
65 years and over: 11.89% (male 169,681/female 192,739) (2017 est.)",18.05,17.47,41.06,11.54,11.89,290572,259544,275969,256416,597421,653965,173105,178575,169681,192739,"-3.3 migrant(s)/1,000 population (2017 est.)",-3.3,13.2,6.8,6.4,Europe,78.5,75.8,81.4
Algeria,"28 00 N, 3 00 E",28.0,3.0,"40,969,443 (July 2017 est.)",40969443,"total: 28.1 years
male: 27.8 years
female: 28.4 years (2017 est.)",28.1,27.8,28.4,-0.5999999999999979,"0-14 years: 29.31% (male 6,148,568/female 5,858,922)
15-24 years: 15.3% (male 3,208,185/female 3,061,179)
25-54 years: 42.93% (male 8,906,160/female 8,682,894)
55-64 years: 6.81% (male 1,410,298/female 1,378,282)
65 years and over: 5.65% (male 1,079,218/female 1,235,737) (2017 est.)",29.31,15.3,42.93,6.81,5.65,6148568,5858922,3208185,3061179,8906160,8682894,1410298,1378282,1079218,1235737,"-0.9 migrant(s)/1,000 population (2017 est.)",-0.9,22.2,4.3,17.9,Africa,77.0,75.6,78.4
American Samoa,"14 20 S, 170 00 W",-14.333333333333336,-170.0,"51,504 (July 2017 est.)",51504,"total: 25.5 years
male: 25.1 years
female: 26 years (2017 est.)",25.5,25.1,26.0,-0.8999999999999986,"0-14 years: 30.28% (male 8,017/female 7,580)
15-24 years: 18.79% (male 4,846/female 4,831)
25-54 years: 36.38% (male 9,274/female 9,463)
55-64 years: 8.58% (male 2,186/female 2,232)
65 years and over: 5.97% (male 1,452/female 1,623) (2017 est.)",30.28,18.79,36.38,8.58,5.97,8017,7580,4846,4831,9274,9463,2186,2232,1452,1623,"-26.7 migrant(s)/1,000 population (2017 est.)",-26.7,19.6,5.9,13.7,Oceania,73.4,71.3,75.6
Andorra,"42 30 N, 1 30 E",42.5,1.5,"76,965 (July 2017 est.)",76965,"total: 44.3 years
male: 44.4 years
female: 44.1 years (2017 est.)",44.3,44.4,44.1,0.2999999999999972,"0-14 years: 14.4% (male 6,340/female 6,003)
15-24 years: 9.64% (male 4,289/female 3,976)
25-54 years: 46.18% (male 20,233/female 19,348)
55-64 years: 14.16% (male 6,458/female 5,677)
65 years and over: 15.61% (male 6,788/female 6,590) (2017 est.)",14.4,9.64,46.18,14.16,15.61,6340,6003,4289,3976,20233,19348,6458,5677,6788,6590,"0 migrant(s)/1,000 population (2017 est.)",0.0,7.5,7.3,0.20000000000000007,Europe,82.9,80.7,85.2
Angola,"12 30 S, 18 30 E",-12.5,18.5,"29,310,273 (July 2017 est.)
note: Angola's national statistical agency projects the country's 2017 population to be 28.4 million",29310273,"total: 15.9 years
male: 15.4 years
female: 16.3 years (2017 est.)",15.9,15.4,16.3,-0.9000000000000004,"0-14 years: 48.12% (male 7,005,891/female 7,097,392)
15-24 years: 18.25% (male 2,593,355/female 2,756,367)
25-54 years: 28.03% (male 3,921,046/female 4,293,307)
55-64 years: 3.26% (male 438,268/female 517,690)
65 years and over: 2.34% (male 290,247/female 396,710) (2017 est.)",48.12,18.25,28.03,3.26,2.34,7005891,7097392,2593355,2756367,3921046,4293307,438268,517690,290247,396710,"0.2 migrant(s)/1,000 population (2017 est.)",0.2,44.2,9.2,35.0,Africa,60.2,58.2,62.3
Anguilla,"18 15 N, 63 10 W",18.25,-63.16666666666666,"17,087 (July 2017 est.)",17087,"total: 34.8 years
male: 32.9 years
female: 36.7 years (2017 est.)",34.8,32.9,36.7,-3.8000000000000043,"0-14 years: 22.21% (male 1,936/female 1,859)
15-24 years: 14.08% (male 1,205/female 1,200)
25-54 years: 43.82% (male 3,363/female 4,124)
55-64 years: 11.06% (male 880/female 1,010)
65 years and over: 8.84% (male 750/female 760) (2017 est.)",22.21,14.08,43.82,11.06,8.84,1936,1859,1205,1200,3363,4124,880,1010,750,760,"11.7 migrant(s)/1,000 population (2017 est.)",11.7,12.5,4.6,7.9,Central America and the Caribbean,81.5,78.9,84.2
Antigua and Barbuda,"17 03 N, 61 48 W",17.05,-61.8,"94,731 (July 2017 est.)",94731,"total: 31.9 years
male: 30 years
female: 33.5 years (2017 est.)",31.9,30.0,33.5,-3.5,"0-14 years: 23.09% (male 11,116/female 10,760)
15-24 years: 16.83% (male 7,939/female 8,008)
25-54 years: 42.19% (male 18,268/female 21,695)
55-64 years: 9.83% (male 4,179/female 5,130)
65 years and over: 8.06% (male 3,279/female 4,357) (2017 est.)",23.09,16.83,42.19,9.83,8.06,11116,10760,7939,8008,18268,21695,4179,5130,3279,4357,"2.2 migrant(s)/1,000 population (2017 est.)",2.2,15.7,5.7,10.0,Central America and the Caribbean,76.7,74.6,79.0
Argentina,"34 00 S, 64 00 W",-34.0,-64.0,"44,293,293 (July 2017 est.)",44293293,"total: 31.7 years
male: 30.5 years
female: 32.9 years (2017 est.)",31.7,30.5,32.9,-2.3999999999999986,"0-14 years: 24.59% (male 5,612,766/female 5,278,857)
15-24 years: 15.28% (male 3,460,276/female 3,307,227)
25-54 years: 39.38% (male 8,707,818/female 8,733,370)
55-64 years: 9.13% (male 1,963,923/female 2,081,796)
65 years and over: 11.62% (male 2,159,811/female 2,987,449) (2017 est.)",24.59,15.28,39.38,9.13,11.62,5612766,5278857,3460276,3307227,8707818,8733370,1963923,2081796,2159811,2987449,"-0.1 migrant(s)/1,000 population (2017 est.)",-0.1,16.7,7.5,9.2,South America,77.3,74.2,80.6
Armenia,"40 00 N, 45 00 E",40.0,45.0,"3,045,191 (July 2017 est.)",3045191,"total: 35.1 years
male: 33.3 years
female: 36.9 years (2017 est.)",35.1,33.3,36.9,-3.6000000000000014,"0-14 years: 18.94% (male 306,322/female 270,388)
15-24 years: 12.89% (male 203,358/female 189,092)
25-54 years: 43.43% (male 640,881/female 681,784)
55-64 years: 13.41% (male 187,178/female 221,071)
65 years and over: 11.33% (male 138,458/female 206,659) (2017 est.)",18.94,12.89,43.43,13.41,11.33,306322,270388,203358,189092,640881,681784,187178,221071,138458,206659,"-5.7 migrant(s)/1,000 population (2017 est.)",-5.7,12.9,9.4,3.5,Asia,74.9,71.6,78.5
Aruba,"12 30 N, 69 58 W",12.5,-69.96666666666667,"115,120 (July 2017 est.)",115120,"total: 39.3 years
male: 37.5 years
female: 41.1 years (2017 est.)",39.3,37.5,41.1,-3.6000000000000014,"0-14 years: 17.64% (male 10,189/female 10,115)
15-24 years: 12.78% (male 7,405/female 7,307)
25-54 years: 41.72% (male 23,117/female 24,906)
55-64 years: 14.28% (male 7,664/female 8,773)
65 years and over: 13.59% (male 6,132/female 9,512) (2017 est.)",17.64,12.78,41.72,14.28,13.59,10189,10115,7405,7307,23117,24906,7664,8773,6132,9512,"8.7 migrant(s)/1,000 population (2017 est.)",8.7,12.4,8.4,4.0,Central America and the Caribbean,76.9,73.9,80.1
